#,Digimon,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd
0,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95
1,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68
2,Punimon,Baby,Free,Neutral,2,0,870,50,97,87,50,75
3,Botamon,Baby,Free,Neutral,2,0,690,68,77,95,76,61
4,Poyomon,Baby,Free,Neutral,2,0,540,98,54,59,95,86
5,Arcadiamon In-Tr.,In-Training,Free,Dark,3,0,720,85,86,59,81,93
6,Koromon,In-Training,Free,Fire,3,0,940,52,109,93,52,76
7,Tanemon,In-Training,Free,Plant,3,0,1030,64,85,82,73,69
8,Tsunomon,In-Training,Free,Earth,3,0,930,54,107,92,54,76
9,Tsumemon,In-Training,Free,Dark,3,0,930,64,108,64,54,93
10,Tokomon,In-Training,Free,Neutral,3,0,640,86,76,74,74,103
11,Nyaromon,In-Training,Free,Light,3,0,540,107,54,64,103,94
12,Pagumon,In-Training,Free,Dark,3,0,550,103,60,63,102,93
13,Yokomon,In-Training,Free,Plant,3,0,1040,64,82,82,75,69
14,Bukamon,In-Training,Free,Water,3,0,830,93,54,74,103,69
15,Motimon,In-Training,Free,Neutral,3,0,1030,63,82,81,78,69
16,Wanyamon,In-Training,Free,Wind,3,0,830,82,79,75,75,82
17,Agumon,Rookie,Vaccine,Fire,5,1,1030,59,131,103,54,86
18,Agumon (Blk),Rookie,Virus,Fire,5,1,1020,56,124,108,56,85
19,Arcadiamon Rookie,Rookie,Virus,Dark,5,1,950,86,105,79,85,86
20,Armadillomon,Rookie,Free,Earth,4,1,1160,85,67,111,65,72
21,Impmon,Rookie,Virus,Dark,5,1,530,114,83,65,114,102
22,Elecmon,Rookie,Data,Electric,4,1,930,93,82,79,79,90
23,Otamamon,Rookie,Virus,Water,4,1,930,105,52,75,113,78
24,Gaomon,Rookie,Data,Neutral,5,1,1030,69,118,74,66,101
25,Gazimon,Rookie,Virus,Dark,4,1,970,71,123,64,59,102
26,Gabumon,Rookie,Data,Fire,5,1,980,88,94,81,79,91
27,Gabumon (Blk),Rookie,Virus,Fire,5,1,950,83,99,89,74,91
28,Guilmon,Rookie,Virus,Fire,5,1,1050,69,133,74,54,101
29,Kudamon,Rookie,Vaccine,Light,5,1,590,128,53,74,117,105
30,Keramon,Rookie,Free,Dark,5,1,1030,74,123,69,61,101
31,Gotsumon,Rookie,Data,Earth,5,1,790,79,93,118,90,72
32,Goblimon,Rookie,Virus,Earth,4,1,1050,51,115,110,51,84
33,Gomamon,Rookie,Vaccine,Water,5,1,1160,69,93,93,81,79
34,Syakomon,Rookie,Virus,Water,4,1,870,100,53,86,112,78
35,Zubamon,Rookie,Vaccine,Neutral,5,1,1010,57,126,111,54,87
36,Solarmon,Rookie,Vaccine,Light,4,1,1030,88,69,108,71,77
