No,Digimon,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd,Image
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,http://digidb.io/images/dot/dot629.png
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,http://digidb.io/images/dot/dot387.png
3,Punimon,Baby,Free,Neutral,2,0,870,50,97,87,50,75,http://digidb.io/images/dot/dot437.png
4,Botamon,Baby,Free,Neutral,2,0,690,68,77,95,76,61,http://digidb.io/images/dot/dot317.png
5,Poyomon,Baby,Free,Neutral,2,0,540,98,54,59,95,86,http://digidb.io/images/dot/dot320.png
6,Arcadiamon In-Tr.,In-Training,Free,Dark,3,0,720,85,86,59,81,93,http://digidb.io/images/dot/dot062.png
7,Koromon,In-Training,Free,Fire,3,0,940,52,109,93,52,76,http://digidb.io/images/dot/dot322.png
8,Tanemon,In-Training,Free,Plant,3,0,1030,64,85,82,73,69,http://digidb.io/images/dot/dot512.png
9,Tsunomon,In-Training,Free,Earth,3,0,930,54,107,92,54,76,http://digidb.io/images/dot/dot438.png
10,Tsumemon,In-Training,Free,Dark,3,0,930,64,108,64,54,93,http://digidb.io/images/dot/dot631.png
11,Tokomon,In-Training,Free,Neutral,3,0,640,86,76,74,74,103,http://digidb.io/images/dot/dot325.png
12,Nyaromon,In-Training,Free,Light,3,0,540,107,54,64,103,94,http://digidb.io/images/dot/dot515.png
13,Pagumon,In-Training,Free,Dark,3,0,550,103,60,63,102,93,http://digidb.io/images/dot/dot567.png
14,Yokomon,In-Training,Free,Plant,3,0,1040,64,82,82,75,69,http://digidb.io/images/dot/dot510.png
15,Bukamon,In-Training,Free,Water,3,0,830,93,54,74,103,69,http://digidb.io/images/dot/dot514.png
16,Motimon,In-Training,Free,Neutral,3,0,1030,63,82,81,78,69,http://digidb.io/images/dot/dot388.png
17,Wanyamon,In-Training,Free,Wind,3,0,830,82,79,75,75,82,http://digidb.io/images/dot/dot321.png
18,Agumon,Rookie,Vaccine,Fire,5,1,1030,59,131,103,54,86,http://digidb.io/images/dot/dot050.png
19,Agumon (Blk),Rookie,Virus,Fire,5,1,1020,56,124,108,56,85,http://digidb.io/images/dot/dot143.png
20,Arcadiamon Rookie,Rookie,Virus,Dark,5,1,950,86,105,79,85,86,http://digidb.io/images/dot/dot063.png
21,Armadillomon,Rookie,Free,Earth,4,1,1160,85,67,111,65,72,http://digidb.io/images/dot/dot707.png
22,Impmon,Rookie,Virus,Dark,5,1,530,114,83,65,114,102,http://digidb.io/images/dot/dot081.png
23,Elecmon,Rookie,Data,Electric,4,1,930,93,82,79,79,90,http://digidb.io/images/dot/dot564.png
24,Otamamon,Rookie,Virus,Water,4,1,930,105,52,75,113,78,http://digidb.io/images/dot/dot582.png
25,Gaomon,Rookie,Data,Neutral,5,1,1030,69,118,74,66,101,http://digidb.io/images/dot/dot055.png
26,Gazimon,Rookie,Virus,Dark,4,1,970,71,123,64,59,102,http://digidb.io/images/dot/dot569.png
27,Gabumon,Rookie,Data,Fire,5,1,980,88,94,81,79,91,http://digidb.io/images/dot/dot151.png
28,Gabumon (Blk),Rookie,Virus,Fire,5,1,950,83,99,89,74,91,http://digidb.io/images/dot/dot713.png
29,Guilmon,Rookie,Virus,Fire,5,1,1050,69,133,74,54,101,http://digidb.io/images/dot/dot090.png
30,Kudamon,Rookie,Vaccine,Light,5,1,590,128,53,74,117,105,http://digidb.io/images/dot/dot053.png
31,Keramon,Rookie,Free,Dark,5,1,1030,74,123,69,61,101,http://digidb.io/images/dot/dot626.png
32,Gotsumon,Rookie,Data,Earth,5,1,790,79,93,118,90,72,http://digidb.io/images/dot/dot595.png
33,Goblimon,Rookie,Virus,Earth,4,1,1050,51,115,110,51,84,http://digidb.io/images/dot/dot111.png
34,Gomamon,Rookie,Vaccine,Water,5,1,1160,69,93,93,81,79,http://digidb.io/images/dot/dot343.png
35,Syakomon,Rookie,Virus,Water,4,1,870,100,53,86,112,78,http://digidb.io/images/dot/dot709.png
36,Zubamon,Rookie,Vaccine,Neutral,5,1,1010,57,126,111,54,87,http://digidb.io/images/dot/dot697.png
37,Solarmon,Rookie,Vaccine,Light,4,1,1030,88,69,108,71,77,http://digidb.io/images/dot/dot728.png
38,Chuumon,Rookie,Virus,Earth,4,1,700,91,87,73,85,111,http://digidb.io/images/dot/dot020.png
39,Terriermon,Rookie,Vaccine,Wind,4,1,690,93,84,75,84,112,http://digidb.io/images/dot/dot701.png
40,Tentomon,Rookie,Vaccine,Plant,4,1,750,79,86,110,93,73,http://digidb.io/images/dot/dot303.png
41,ToyAgumon,Rookie,Vaccine,Neutral,4,1,1110,87,72,112,63,71,http://digidb.io/images/dot/dot708.png
42,Dracmon,Rookie,Virus,Dark,5,1,870,81,108,88,83,84,http://digidb.io/images/dot/dot457.png
43,Dracomon,Rookie,Data,Fire,5,1,980,69,132,89,49,99,http://digidb.io/images/dot/dot208.png
44,Dorumon,Rookie,Data,Neutral,5,1,1020,65,128,79,56,101,http://digidb.io/images/dot/dot112.png
45,Hagurumon,Rookie,Virus,Electric,4,1,1090,91,66,110,69,71,http://digidb.io/images/dot/dot009.png
46,Patamon,Rookie,Data,Wind,4,1,880,93,79,74,92,90,http://digidb.io/images/dot/dot096.png
47,Hackmon,Rookie,Data,Fire,5,1,1030,59,118,108,63,85,http://digidb.io/images/dot/dot687.png
48,Palmon,Rookie,Data,Plant,5,1,1140,65,103,90,80,79,http://digidb.io/images/dot/dot348.png
49,DemiDevimon,Rookie,Virus,Dark,4,1,650,87,89,76,89,111,http://digidb.io/images/dot/dot097.png
50,Biyomon,Rookie,Vaccine,Wind,4,1,830,93,85,79,85,91,http://digidb.io/images/dot/dot307.png
51,Falcomon,Rookie,Vaccine,Wind,5,1,740,93,94,79,79,113,http://digidb.io/images/dot/dot705.png
52,FanBeemon,Rookie,Virus,Plant,4,1,860,69,104,86,73,98,http://digidb.io/images/dot/dot042.png
53,Veemon,Rookie,Free,Neutral,5,1,1040,74,130,74,53,101,http://digidb.io/images/dot/dot114.png
54,Salamon,Rookie,Vaccine,Light,4,1,540,118,59,69,119,97,http://digidb.io/images/dot/dot361.png
55,Betamon,Rookie,Virus,Water,4,1,870,101,61,76,113,78,http://digidb.io/images/dot/dot389.png
56,Hawkmon,Rookie,Free,Wind,5,1,690,88,99,79,83,114,http://digidb.io/images/dot/dot706.png
57,Mushroomon,Rookie,Virus,Plant,4,1,1110,64,96,88,79,78,http://digidb.io/images/dot/dot607.png
58,Monodramon,Rookie,Vaccine,Neutral,4,1,1040,54,128,100,51,79,http://digidb.io/images/dot/dot458.png
59,Lalamon,Rookie,Data,Plant,4,1,1100,74,87,87,79,79,http://digidb.io/images/dot/dot056.png
60,Lucemon,Rookie,Vaccine,Light,14,1,1230,148,59,104,208,119,http://digidb.io/images/dot/dot390.png
61,Lunamon,Rookie,Data,Water,5,1,890,94,89,76,101,82,http://digidb.io/images/dot/dot002.png
62,Renamon,Rookie,Data,Plant,5,1,930,93,89,74,89,93,http://digidb.io/images/dot/dot391.png
63,Lopmon,Rookie,Data,Earth,4,1,790,79,103,68,103,85,http://digidb.io/images/dot/dot750.png
64,Wormmon,Rookie,Free,Plant,4,1,760,76,92,111,90,71,http://digidb.io/images/dot/dot392.png
65,IceDevimon,Champion,Virus,Water,8,1,990,94,140,89,118,92,http://digidb.io/images/dot/dot730.png
66,Icemon,Champion,Data,Water,6,2,940,87,108,132,106,84,http://digidb.io/images/dot/dot758.png
67,Aquilamon,Champion,Free,Wind,8,1,840,108,109,89,89,143,http://digidb.io/images/dot/dot015.png
68,Agunimon,Champion,Free,Fire,8,1,1130,88,134,93,84,119,http://digidb.io/images/dot/dot676.png
69,Arcadiamon Champion,Champion,Virus,Dark,8,1,1130,98,139,84,89,108,http://digidb.io/images/dot/dot064.png
70,Ankylomon,Champion,Free,Earth,6,2,1330,98,89,133,79,79,http://digidb.io/images/dot/dot711.png
71,Ikkakumon,Champion,Vaccine,Water,8,1,1330,84,118,102,94,90,http://digidb.io/images/dot/dot344.png
72,Wizardmon,Champion,Data,Dark,8,1,690,138,74,79,143,118,http://digidb.io/images/dot/dot377.png
73,Lobomon,Champion,Free,Light,8,1,1180,79,143,95,69,117,http://digidb.io/images/dot/dot680.png
74,Woodmon,Champion,Virus,Plant,6,2,1480,74,109,103,89,88,http://digidb.io/images/dot/dot393.png
75,Airdramon,Champion,Vaccine,Wind,6,2,1040,77,126,100,86,118,http://digidb.io/images/dot/dot011.png
76,ExVeemon,Champion,Free,Neutral,8,1,1030,118,104,94,94,118,http://digidb.io/images/dot/dot365.png
77,Angemon,Champion,Vaccine,Light,8,1,940,94,128,89,128,99,http://digidb.io/images/dot/dot087.png
78,Ogremon,Champion,Virus,Earth,8,1,1230,64,155,118,64,97,http://digidb.io/images/dot/dot394.png
79,Guardromon,Champion,Virus,Electric,6,2,990,84,108,138,103,79,http://digidb.io/images/dot/dot341.png
80,Guardromon (Gold),Champion,Free,Electric,6,2,1130,83,99,168,96,62,http://digidb.io/images/dot/dot760.png
81,GaoGamon,Champion,Data,Wind,8,1,740,108,109,94,99,138,http://digidb.io/images/dot/dot068.png
82,Kabuterimon,Champion,Vaccine,Plant,6,2,890,89,108,128,116,81,http://digidb.io/images/dot/dot304.png
83,ShellNumemon,Champion,Virus,Water,6,2,1280,103,79,148,74,79,http://digidb.io/images/dot/dot455.png
84,Gargomon,Champion,Vaccine,Electric,6,2,1030,103,109,99,89,108,http://digidb.io/images/dot/dot710.png
85,Garurumon,Champion,Vaccine,Fire,8,1,890,108,99,94,94,138,http://digidb.io/images/dot/dot012.png
86,Garurumon (Blk),Champion,Virus,Fire,8,1,890,108,109,104,79,133,http://digidb.io/images/dot/dot714.png
87,Kyubimon,Champion,Data,Fire,8,1,740,138,59,84,138,128,http://digidb.io/images/dot/dot395.png
88,Growlmon,Champion,Virus,Fire,8,1,1180,79,143,113,69,109,http://digidb.io/images/dot/dot078.png
89,Kurisarimon,Champion,Free,Dark,8,1,1280,84,153,79,64,113,http://digidb.io/images/dot/dot630.png
90,Greymon,Champion,Vaccine,Fire,8,1,1230,74,148,118,64,104,http://digidb.io/images/dot/dot326.png
91,Greymon (Blue),Champion,Virus,Fire,8,1,1280,74,153,118,59,99,http://digidb.io/images/dot/dot712.png
92,Clockmon,Champion,Data,Electric,6,2,1030,118,64,101,133,92,http://digidb.io/images/dot/dot398.png
93,Kuwagamon,Champion,Virus,Plant,6,2,1180,69,153,113,59,99,http://digidb.io/images/dot/dot367.png
94,Gekomon,Champion,Virus,Water,6,2,1130,123,68,89,128,90,http://digidb.io/images/dot/dot399.png
95,Geremon,Champion,Virus,Electric,6,2,1380,99,104,128,64,78,http://digidb.io/images/dot/dot729.png
96,Coredramon (Blue),Champion,Vaccine,Wind,8,1,1230,76,151,103,69,109,http://digidb.io/images/dot/dot218.png
97,Coredramon (Green),Champion,Virus,Earth,8,1,1230,74,151,99,61,123,http://digidb.io/images/dot/dot209.png
98,GoldNumemon,Champion,Virus,Light,6,2,1130,124,59,84,143,88,http://digidb.io/images/dot/dot113.png
99,Golemon,Champion,Virus,Earth,6,2,1430,79,121,132,62,74,http://digidb.io/images/dot/dot005.png
100,Cyclonemon,Champion,Virus,Earth,6,2,940,84,131,128,93,81,http://digidb.io/images/dot/dot452.png
101,Sangloupmon,Champion,Virus,Dark,6,2,1180,85,123,91,90,104,http://digidb.io/images/dot/dot030.png
102,Sunflowmon,Champion,Data,Plant,6,2,1180,113,64,89,141,86,http://digidb.io/images/dot/dot058.png
103,Seadramon,Champion,Data,Water,6,2,1080,118,64,99,134,88,http://digidb.io/images/dot/dot347.png
104,Coelamon,Champion,Data,Water,6,2,1290,79,113,105,90,96,http://digidb.io/images/dot/dot130.png
105,GeoGreymon,Champion,Vaccine,Fire,8,1,1330,89,143,84,64,118,http://digidb.io/images/dot/dot054.png
106,Sukamon,Champion,Virus,Earth,6,2,1430,98,89,133,69,79,http://digidb.io/images/dot/dot313.png
107,Starmon,Champion,Data,Neutral,6,2,1080,98,104,109,91,101,http://digidb.io/images/dot/dot014.png
108,Stingmon,Champion,Free,Plant,8,1,1130,84,143,74,74,133,http://digidb.io/images/dot/dot091.png
